sav,val,W,P,W_minus_P,mean_vrr,std_vrr,site
b_11_1,0.8106235565819861,11,1,10,0.22759208493630081,0.13690319716112412,Mecsek
b_11_2,0.883819018404908,11,2,9,0.08656054290248041,0.0876245012231578,Mecsek
b_11_3,0.8831919814957594,11,3,8,0.08656054290247961,0.08762450122315704,Mecsek
b_11_4,0.8810810810810811,11,4,7,0.03664375368950323,0.05303555950998818,Mecsek
b_11_5,0.8810999225406662,11,5,6,0.03664375368950955,0.05303555950999208,Mecsek
b_11_6,0.8966973886328724,11,6,5,0.009235779870700275,0.011153689432594987,Mecsek
b_11_7,0.8955453149001537,11,7,4,0.009235779870805146,0.011153689432675072,Mecsek
b_11_8,0.8975346687211094,11,8,3,-0.0012330553377483087,0.002235172620642865,Mecsek
b_11_9,0.8961538461538462,11,9,2,-0.0012330552917174506,0.0022351725668086206,Mecsek
b_13_1,0.8247699386503067,13,1,12,0.2648999655788278,0.16272163201847564,Mecsek
b_13_10,0.8967642526964561,13,10,3,-0.002291068177899039,0.003344888583495841,Mecsek
b_13_11,0.8970137825421134,13,11,2,-0.0022910671369261067,0.0033448875565422003,Mecsek
b_13_2,0.8550114766641163,13,2,11,0.11043661788543375,0.09185798201665248,Mecsek
b_13_3,0.8549618320610687,13,3,10,0.11043661788543369,0.09185798201665273,Mecsek
b_13_4,0.8900845503458877,13,4,9,0.056181314993768536,0.07935826191086864,Mecsek
b_13_5,0.8901225114854517,13,5,8,0.0561813149937981,0.07935826191088448,Mecsek
b_13_6,0.8908396946564886,13,6,7,0.024697534886790693,0.03631002979788072,Mecsek
b_13_7,0.8897911832946636,13,7,6,0.024697534885842136,0.03631002979679066,Mecsek
b_13_8,0.8996925441967718,13,8,5,0.005258555890194299,0.005755315623480226,Mecsek
b_13_9,0.8968437259430331,13,9,4,0.005258555895166801,0.005755315635349581,Mecsek
b_15_1,0.8237986270022883,15,1,14,0.2966902518932307,0.18770685281811805,Mecsek
b_15_10,0.8922247882986913,15,10,5,0.002308514369100119,0.003091885185149254,Mecsek
b_15_11,0.8907208588957055,15,11,4,0.00230851709318308,0.0030918849579469666,Mecsek
b_15_12,0.8944530046224961,15,12,3,-0.002650860108749549,0.0038076609760473493,Mecsek
b_15_13,0.8938461538461538,15,13,2,-0.002651040366690095,0.0038079257435376457,Mecsek
b_15_2,0.8329493087557605,15,2,13,0.1345616055962064,0.09579958131906967,Mecsek
b_15_3,0.8303981623277182,15,3,12,0.13456160559620653,0.09579958131906974,Mecsek
b_15_4,0.8952417498081351,15,4,11,0.07006965043658821,0.08655926535702277,Mecsek
b_15_5,0.8947772657450077,15,5,10,0.07006965043658156,0.08655926535701619,Mecsek
b_15_6,0.8838734567901234,15,6,9,0.0422441235237889,0.06644486914545236,Mecsek
b_15_7,0.8836405529953917,15,7,8,0.04224412352374699,0.06644486914546711,Mecsek
b_15_8,0.8898305084745763,15,8,7,0.01633626631134725,0.022709817163102258,Mecsek
b_15_9,0.8871834228702993,15,9,6,0.01633626639138847,0.022709817274249026,Mecsek
b_17_1,0.7932766615146831,17,1,16,0.3230880656097428,0.2097726085797564,Mecsek
b_17_10,0.8915384615384615,17,10,7,0.010711472320773418,0.013094906642517768,Mecsek
b_17_11,0.8901310717039321,17,11,6,0.010711479938182802,0.013094909065344149,Mecsek
b_17_12,0.8925019127773527,17,12,5,-0.00023964779181935718,0.004496726127970038,Mecsek
b_17_13,0.8896604938271604,17,13,4,-0.00024064720364626487,0.004497187836734039,Mecsek
b_17_14,0.8967766692248657,17,14,3,-0.002083669117958973,0.0025042218348458323,Mecsek
b_17_15,0.8947772657450077,17,15,2,-0.0022144361543463514,0.0026108899229949282,Mecsek
b_17_2,0.8183217859892224,17,2,15,0.1602844061293777,0.10596314403327999,Mecsek
b_17_3,0.8202463433410316,17,3,14,0.16028440612937778,0.10596314403328008,Mecsek
b_17_4,0.8731744811683321,17,4,13,0.0825987857003906,0.0882420744908385,Mecsek
b_17_5,0.8737451737451738,17,5,12,0.08259878570043926,0.08824207449087117,Mecsek
b_17_6,0.8922546012269938,17,6,11,0.05418962591154834,0.0797995234446428,Mecsek
b_17_7,0.8923371647509579,17,7,10,0.05418962591102749,0.07979952344402165,Mecsek
b_17_8,0.8831919814957594,17,8,9,0.03222867310706367,0.05221903004233149,Mecsek
b_17_9,0.8828725038402458,17,9,8,0.03222867353512201,0.052219030276158915,Mecsek
b_19_1,0.75,19,1,18,0.34513616450131945,0.22671218516171354,Mecsek
b_19_10,0.8883307573415765,19,10,9,0.024092737050203324,0.03868382613769517,Mecsek
b_19_11,0.8884202453987731,19,11,8,0.024092666543566694,0.03868376119144259,Mecsek
b_19_12,0.8911196911196911,19,12,7,0.006328175582539086,0.006708911737270829,Mecsek
b_19_13,0.8907692307692308,19,13,6,0.006329136729564617,0.0067095043069037115,Mecsek
b_19_14,0.883935434281322,19,14,5,-0.0010823272081705603,0.004903901159744054,Mecsek
b_19_15,0.8823302469135803,19,15,4,-0.0020159126310241803,0.005659476167492592,Mecsek
b_19_2,0.8165771297006907,19,2,17,0.18697409500536707,0.1242196564924091,Mecsek
b_19_3,0.8185637891520245,19,3,16,0.18697409500536719,0.1242196564924094,Mecsek
b_19_4,0.8489263803680982,19,4,15,0.09637689586335359,0.09156106514111333,Mecsek
b_19_5,0.8497309761721752,19,5,14,0.09637689586332411,0.09156106514108597,Mecsek
b_19_6,0.8975535168195719,19,6,13,0.06318727678517386,0.08290555376132218,Mecsek
b_19_7,0.8992337164750958,19,7,12,0.06318727678576418,0.08290555375910597,Mecsek
b_19_8,0.8846153846153846,19,8,11,0.04460610422457303,0.07156034235333315,Mecsek
b_19_9,0.8824209714726292,19,9,10,0.044606105503174905,0.07156034309263318,Mecsek
b_3_1,0.9016464471403813,3,1,2,0.028361095434675982,0.018911504155685436,Mecsek
b_5_1,0.8768718801996672,5,1,4,0.08205188987268222,0.056334201611204435,Mecsek
b_5_2,0.8918128654970761,5,2,3,0.006805519034793527,0.007723309879246892,Mecsek
b_5_3,0.8845514950166113,5,3,2,0.006805519034793616,0.007723309879246866,Mecsek
b_7_1,0.8411102172164119,7,1,6,0.13645649519482306,0.08758896337275272,Mecsek
b_7_2,0.8931726907630522,7,2,5,0.030625396781317173,0.035694535059254726,Mecsek
b_7_3,0.8911290322580645,7,3,4,0.030625396781317205,0.03569453505925465,Mecsek
b_7_4,0.8901453957996769,7,4,3,0.0025626916610605307,0.0037194573209212325,Mecsek
b_7_5,0.8885760257441674,7,5,2,0.002562691661058715,0.003719457320921833,Mecsek
b_9_1,0.8343873517786561,9,1,8,0.18511552116607594,0.11215590192641899,Mecsek
b_9_2,0.8895800933125972,9,2,7,0.05946433469136999,0.06919128374884365,Mecsek
b_9_3,0.8892380204241948,9,3,6,0.059464334691367485,0.06919128374884408,Mecsek
b_9_4,0.8969435736677116,9,4,5,0.016668327217923242,0.02167053545813383,Mecsek
b_9_5,0.8966061562746646,9,5,4,0.01666832721792479,0.021670535458130087,Mecsek
b_9_6,0.8978706624605678,9,6,3,0.00013070047807571807,0.0003458009612133531,Mecsek
b_9_7,0.896551724137931,9,7,2,0.00013070047807049216,0.0003458009612117733,Mecsek
original,0.8797528517110267,0,0,0,0.0,0.0,Mecsek
b_11_1,0.8648086522462562,11,1,10,0.15852558248145462,0.06086940080583196,Sagvar
b_11_2,0.8608569051580699,11,2,9,0.0691833384227821,0.03728125501330168,Sagvar
b_11_3,0.8608569051580699,11,3,8,0.06918333842278174,0.037281255013301685,Sagvar
b_11_4,0.8695923460898503,11,4,7,0.023289585975164912,0.015013258622840185,Sagvar
b_11_5,0.8695923460898503,11,5,6,0.02328958597516849,0.015013258622840501,Sagvar
b_11_6,0.8716722129783694,11,6,5,0.0056696263085554,0.0040441310865310665,Sagvar
b_11_7,0.8716722129783694,11,7,4,0.005669626308616694,0.004044131086548882,Sagvar
b_11_8,0.8739600665557404,11,8,3,-0.0003677400862991525,0.0012024539254159574,Sagvar
b_11_9,0.8739600665557404,11,9,2,-0.0003677400740516818,0.0012024539226189045,Sagvar
b_13_1,0.858153078202995,13,1,12,0.17823115357108948,0.0654805230435627,Sagvar
b_13_10,0.8752079866888519,13,10,3,-0.0008793087878768005,0.0015135132738687738,Sagvar
b_13_11,0.8752079866888519,13,11,2,-0.0008793088223765144,0.0015135133472294496,Sagvar
b_13_2,0.8450499168053245,13,2,11,0.09301200360530057,0.0475288860088386,Sagvar
